format code,extension,resolution,note,,,,,,
249,webm,audio only DASH,audio,58k,,, opus @ 50k,, 882.89KiB
250,webm,audio only DASH,audio,77k,,, opus @ 70k,, 1.14MiB
171,webm,audio only DASH,audio,112k,,, vorbis@128k,, 1.78MiB
251,webm,audio only DASH,audio,143k,,, opus @160k,, 2.23MiB
278,webm,256x144,144p,118k, webm container, vp9, 24fps, video only, 1.67MiB
242,webm,426x240,240p,291k,, vp9, 24fps, video only, 3.40MiB
243,webm, 640x360,360p,555k,, vp9, 24fps, video only, 6.43MiB
244,webm,854x480,480p,995k,, vp9, 24fps, video only, 11.43MiB
247,webm,1280x720,720p,1971k,, vp9, 24fps, video only, 23.02MiB
248,webm,1920x1080,1080p,3520k,, vp9, 24fps, video only, 41.95MiB
271,webm,2560x1440,1440p,10043k,, vp9, 24fps, video only, 120.30MiB
313,webm,3840x2160,2160p,24707k,, vp9, 24fps, video only, 301.26MiB
43,webm,640x360 ,medium,,, vp8.0, vorbis@128k,,
